lc116,codigo,descricao,aliquota,base_legal
19.01,190102,"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
20.01,200123,"Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
25.03,250301,Planos ou convênio funerários.,5%,Portaria F/SUBTF/CIS N° 256/2018
20.02,200207,"Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
20.03,200303,"Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
21.01,210101,"Serviços de registros públicos, cartorários e notariais.",5%,Portaria F/SUBTF/CIS N° 256/2018
22.01,220101,"Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços definidos em contratos, atos de concessão ou de permissão ou em normas oficiais.",5%,Portaria F/SUBTF/CIS N° 256/2018
23.01,230102,"Serviços de programação e comunicação visual, desenho industrial e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
24.01,240103,"Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
25.01,250101,"Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres.",5%,Portaria F/SUBTF/CIS N° 256/2018
25.02,250202,Translado intramunicipal e cremação de corpos e partes de corpos cadavéricos.,5%,Portaria F/SUBTF/CIS N° 256/2018
26.01,260102,"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
27.01,270101,Serviços de assistência social.,5%,Portaria F/SUBTF/CIS N° 256/2018
28.01,280103,Serviços de avaliação de bens e serviços de qualquer natureza.,5%,Portaria F/SUBTF/CIS N° 256/2018
29.01,290101,Serviços de biblioteconomia.,5%,Portaria F/SUBTF/CIS N° 256/2018
30.01,300103,"Serviços de biologia, biotecnologia e química.",5%,Portaria F/SUBTF/CIS N° 256/2018
31.01,310107,"Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
32.01,320101,Serviços de desenhos técnicos.,5%,Portaria F/SUBTF/CIS N° 256/2018
33.01,330104,"Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
34.01,340101,"Serviços de investigações particulares, detetives e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
35.01,350105,"Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.",5%,Portaria F/SUBTF/CIS N° 256/2018
36.01,360101,Serviços de meteorologia.,5%,Portaria F/SUBTF/CIS N° 256/2018
37.01,370103,"Serviços de artistas, atletas, modelos e manequins.",5%,Portaria F/SUBTF/CIS N° 256/2018
