lc116,codigo,descricao,aliquota,base_legal
05.08,508,"Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
05.09,509,Planos de atendimento e assistência médico-veterinária.,2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
06.01,601,"Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
06.02,602,"Esteticistas, tratamento de pele, depilação e congêneres.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
06.03,603,"Banhos, duchas, sauna, massagens e congêneres.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
06.04,604,"Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
06.05,605,"Centros de Emagrecimento, spa e congêneres",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
06.06,60601,"Aplicação de tatuagens, piercings e congêneres.",5%,Portaria F/SUBTF/CIS N° 256/2018
07.01,701,"Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
14.10,141003,Tinturaria e lavanderia.,5%,Portaria F/SUBTF/CIS N° 256/2018
16.02,160204,Outros serviços de transporte de natureza municipal.,5%,Portaria F/SUBTF/CIS N° 256/2018
25.04,250401,Manutenção e conservação de jazigos e cemitérios.,5%,Portaria F/SUBTF/CIS N° 256/2018
07.02,702,"Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.03,703,"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.04,704,Demolição.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.05,705,"Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.06,706,"Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.07,707,"Recuperação, raspagem, polimento e lustração de pisos e congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.08,708,Calafetação.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.09,709,"Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.10,710,"Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.11,711,"Decoração e jardinagem, inclusive corte e poda de árvores.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.12,712,"Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.13,713,"Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.16,716,"Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.",3%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.17,717,"Escoramento, contenção de encostas e serviços congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
12.08,120801,"Feiras, exposições, congressos e congêneres.",2%,Portaria F/SUBTF/CIS N° 256/2018
07.18,718,"Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.19,719,"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.20,720,"Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
07.21,72105,"Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.",2%,Portaria F/SUBTF/CIS N° 256/2018
07.22,72201,Nucleação e bombardeamento de nuvens e congêneres.,2%,Portaria F/SUBTF/CIS N° 256/2018
08.01,801,"Ensino regular pré-escolar, fundamental, médio e superior.",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
08.02,802,"Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
09.01,901,"Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).",2%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
09.02,902,"Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.",5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
09.03,903,Guias de turismo.,5%,DECRETO Nº 10514/1991 - DECRETO Nº 23753/2003
10.01,100107,"Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.",2%,Portaria F/SUBTF/CIS N° 256/2018
10.02,100205,"Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.",2%,Portaria F/SUBTF/CIS N° 256/2018
10.03,100303,"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.",2%,Portaria F/SUBTF/CIS N° 256/2018
10.04,100403,"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).",2%,Portaria F/SUBTF/CIS N° 256/2018
10.05,100508,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.",2%,Portaria F/SUBTF/CIS N° 256/2018
